Date,Selic,Meeting_Number,Decision,Decision_txt,label_hawk_dove,label_next_meet,Text,Type
2006/03/08,16.5,117.0,-0.75,decrease,dovish,decrease," In the March Meeting, the Banco Central do Brasil's Monetary Policy Committee (Copom) decided to reduce the Selic target by 75 basis points to 16.50 percent, without bias. Six votes were for the Copom monetary policy action, while three votes were in favor of reducing the Selic target by 100 basis points. The Portuguese version of the March Copom Minutes will be released next Thursday, March 16. ",Statement
2006/04/19,15.75,118.0,-0.75,decrease,dovish,decrease," In the April Meeting, the Monetary Policy Committee (Copom) unanimously decided to reduce the Selic target by 75 basis points to 15.75 percent, without bias. The Portuguese version of the April Copom Minutes will be released next Thursday, April 27. ",Statement
2006/05/31,15.25,119.0,-0.5,decrease,less dovish,decrease," In the May Meeting, the Monetary Policy Committee (Copom) unanimously decided to reduce the Selic target by 50 basis points to 15.25 percent, without bias. The Portuguese version of the May Copom Minutes will be released next Thursday, June 8. ",Statement
2006/07/19,14.75,120.0,-0.5,decrease,dovish,decrease," In the July Meeting, the Copom unanimously decided to reduce the Selic target by 50 basis points to 14.75 percent, without bias. The Portuguese version of the July Copom Minutes will be released next Thursday, July 27. ",Statement
2006/08/30,14.25,121.0,-0.5,decrease,dovish,decrease," In the August Meeting, the Copom unanimously decided to reduce the Selic target by 50 basis points to 14.25 percent, without bias.Due to the Independence Holiday on September 7, the Portuguese version of the August Copom Minutes will be released next Friday, September 8. ",Statement
2006/10/18,13.75,122.0,-0.5,decrease,dovish,decrease," In light of the macroeconomic scenario and inflation prospects, the Copom unanimously decided to reduce the Selic rate to 13.75 percent, without bias.The Portuguese version of the October Copom Minutes will be released next Thursday, October 26. ",Statement
2006/11/29,13.25,123.0,-0.5,decrease,dovish,decrease," In light of the macroeconomic scenario and inflation prospects, the Copom decided to reduce the Selic target by 50 basis points to 13.25 percent, without bias. Five votes were for the Copom monetary policy action, while three votes were in favor of reducing the Selic target by 25 basis points.The Portuguese version of the November Copom Minutes will be released next Thursday, December 7. ",Statement
2007/01/24,13.0,124.0,-0.25,decrease,less dovish,decrease," Continuing the monetary easing cycle, the Copom decided to reduce the Selic target by 25 basis points to 13.00 percent, without bias. Five votes were for the Copom monetary policy action, while three votes were in favor of reducing the Selic target by 50 basis points. In light of the uncertainties surrounding the monetary policy mechanisms, and considering that the activity level has not completely responded to the effects of the interest rates cuts occurred since September 2005, the Copom concludes that the decision will contribute to increase the magnitude of the adjustment.The Portuguese version of the January Copom Minutes will be released next Thursday, February 1. ",Statement
2007/03/07,12.75,125.0,-0.25,decrease,dovish,decrease," Continuing the monetary easing cycle started in September 2005, the Copom unanimously decided to reduce the Selic target to 12.75 percent, without bias.The Portuguese version of the March Copom Minutes will be released next Thursday, March 15. ",Statement
2007/04/18,12.5,126.0,-0.25,decrease,dovish,decrease," In light of the macroeconomic scenario and inflation prospects, the Copom decided to reduce the Selic target by 25 basis points to 12.50 percent, without bias. Four votes were for the Copom monetary policy action, while three votes were in favor of reducing the Selic target by 50 basis points.The Portuguese version of the April Copom Minutes will be released next Thursday, April 26. ",Statement
2007/06/06,12.0,127.0,-0.5,decrease,dovish,decrease," In light of the macroeconomic scenario and inflation prospects, the Copom decided, at the present moment, to reduce the Selic target by 50 basis points to 12.00 percent, without bias. Five votes were for the Copom monetary policy action, while two votes were in favor of reducing the Selic target by 25 basis points.The Portuguese version of the June Copom Minutes will be released next Thursday, June 14. ",Statement
2007/07/18,11.5,128.0,-0.5,decrease,dovish,decrease," In light of inflation prospects, the Copom decided to reduce the Selic target by 50 basis points to 11.50 percent p.a., without bias. Four votes were for the Copom monetary policy action, while three votes were in favor of reducing the Selic target by 25 basis points. The Committee will carefully monitor the evolution of the macroeconomic scenario until the next meeting, when it will define the next steps in its monetary policy strategy. The Portuguese version of the July Copom Minutes will be released next Thursday, July 26. ",Statement
2007/09/05,11.25,129.0,-0.25,decrease,less dovish,mantain," The Copom assessed the macroeconomic outlook and considered that, at the moment, the balance of risks to the prospective inflation trajectory still justifies an additional monetary stimulus. Therefore, the Committee unanimously decided to reduce the Selic rate to 11.25% p.a., without bias. The Committee will carefully monitor the evolution of the macroeconomic scenario until the next meeting, when it will define the next steps in its monetary policy strategy.The Portuguese version of the September Copom Minutes will be released next Thursday, September 13. ",Statement
2007/10/17,11.25,130.0,0.0,mantain,hawkish,mantain," Assessing the macroeconomic scenario, the Copom unanimously decided to pause the monetary policy easing process and maintained the Selic interest rate at 11.25 percent p.a., without bias.The Portuguese version of the October Copom Minutes will be released next Thursday, October 25. ",Statement
2007/12/05,11.25,131.0,0.0,mantain,neutral,mantain," Assessing the macroeconomic outlook and the prospective scenario for inflation, the Copom unanimously decided to maintain the Selic interest rate at 11.25 percent p.a., without bias.The Portuguese version of the December Copom Minutes will be released next Thursday, December 13. ",Statement
