sentence,label
"march meeting , banco central brasil 's monetary policy committee ( copom ) decided reduce selic target 75 basis points 16.50 percent , without bias . six votes copom monetary policy action , three votes favor reducing selic target 100 basis points . portuguese version march copom minutes released next thursday , march 16 .",0
"april meeting , monetary policy committee ( copom ) unanimously decided reduce selic target 75 basis points 15.75 percent , without bias . portuguese version april copom minutes released next thursday , april 27 .",0
"may meeting , monetary policy committee ( copom ) unanimously decided reduce selic target 50 basis points 15.25 percent , without bias . portuguese version may copom minutes released next thursday , june 8 .",0
"july meeting , copom unanimously decided reduce selic target 50 basis points 14.75 percent , without bias . portuguese version july copom minutes released next thursday , july 27 .",0
"august meeting , copom unanimously decided reduce selic target 50 basis points 14.25 percent , without bias.due independence holiday september 7 , portuguese version august copom minutes released next friday , september 8 .",0
"light macroeconomic scenario inflation prospects , copom unanimously decided reduce selic rate 13.75 percent , without bias.the portuguese version october copom minutes released next thursday , october 26 .",0
"light macroeconomic scenario inflation prospects , copom decided reduce selic target 50 basis points 13.25 percent , without bias . five votes copom monetary policy action , three votes favor reducing selic target 25 basis points.the portuguese version november copom minutes released next thursday , december 7 .",0
"continuing monetary easing cycle , copom decided reduce selic target 25 basis points 13.00 percent , without bias . five votes copom monetary policy action , three votes favor reducing selic target 50 basis points . light uncertainties surrounding monetary policy mechanisms , considering activity level completely responded effects interest rates cuts occurred since september 2005 , copom concludes decision contribute increase magnitude adjustment.the portuguese version january copom minutes released next thursday , february 1 .",0
"continuing monetary easing cycle started september 2005 , copom unanimously decided reduce selic target 12.75 percent , without bias.the portuguese version march copom minutes released next thursday , march 15 .",0
"light macroeconomic scenario inflation prospects , copom decided reduce selic target 25 basis points 12.50 percent , without bias . four votes copom monetary policy action , three votes favor reducing selic target 50 basis points.the portuguese version april copom minutes released next thursday , april 26 .",0
"light macroeconomic scenario inflation prospects , copom decided , present moment , reduce selic target 50 basis points 12.00 percent , without bias . five votes copom monetary policy action , two votes favor reducing selic target 25 basis points.the portuguese version june copom minutes released next thursday , june 14 .",0
"light inflation prospects , copom decided reduce selic target 50 basis points 11.50 percent p.a. , without bias . four votes copom monetary policy action , three votes favor reducing selic target 25 basis points . committee carefully monitor evolution macroeconomic scenario next meeting , define next steps monetary policy strategy . portuguese version july copom minutes released next thursday , july 26 .",0
"copom assessed macroeconomic outlook considered , moment , balance risks prospective inflation trajectory still justifies additional monetary stimulus . therefore , committee unanimously decided reduce selic rate 11.25 % p.a. , without bias . committee carefully monitor evolution macroeconomic scenario next meeting , define next steps monetary policy strategy.the portuguese version september copom minutes released next thursday , september 13 .",1
"assessing macroeconomic scenario , copom unanimously decided pause monetary policy easing process maintained selic interest rate 11.25 percent p.a. , without bias.the portuguese version october copom minutes released next thursday , october 25 .",2
"assessing macroeconomic outlook prospective scenario inflation , copom unanimously decided maintain selic interest rate 11.25 percent p.a. , without bias.the portuguese version december copom minutes released next thursday , december 13 .",2
"assessing macroeconomic outlook prospective scenario inflation , copom unanimously decided maintain selic interest rate 11.25 percent p.a. , without bias . committee monitor evolution macroeconomic scenario next meeting , define next steps monetary policy strategy.the portuguese version january copom minutes released next thursday , january 31 .",2
"assessing macroeconomic outlook prospective scenario inflation , copom unanimously decided maintain selic interest rate 11.25 percent p.a. , without bias . committee carefully monitor evolution macroeconomic scenario next meeting , define next steps monetary policy strategy.the portuguese version march copom minutes released next thursday , march 13 .",1
"assessing macroeconomic outlook prospective scenario inflation , copom unanimously decided raise selic interest rate 11.75 percent p.a. , without bias . committee judges decision immediately materialize relevant part basic interest rate move contribute prompt retraction risk inflation , consequence , reduce magnitude total adjustment implemented.the portuguese version april copom minutes released next thursday , april 24 .",1
"braslia - continuing adjustment process basic interest rate started april meeting , copom unanimously decided increase selic target 12.25 percent , without bias.the portuguese version june copom minutes released next thursday , june 12 .",1
"`` braslia - assessing macroeconomic outlook aimed promptly promoting convergence inflation targets path , copom unanimously decided increase selic target 13.00 percent , without bias.the portuguese version july copom minutes released next thursday , july 31 .",1
"`` braslia - assessing macroeconomic outlook aimed promptly promoting convergence inflation targets path , copom decided increase selic target 13.75 percent , without bias . five votes copom monetary policy action , three votes favor increasing selic target 50 basis points.the portuguese version september copom minutes released next thursday , september 18 .",0
"`` braslia - assessing forward-looking scenario balance risks inflation , uncertain environment , copom unanimously decided , moment , maintain selic target 13.75 percent p.a. , without bias.the portuguese version october copom minutes released next thursday , november 6 .",2
"braslia - majority members committee discussed possibility reducing basic interest rate already meeting , context macroeconomic environment continues surrounded great uncertainty , copom unanimously decided still maintain selic target 13.75 % p. a. , without bias , moment . committee carefully monitor evolution inflation forward-looking scenario aiming timely defining next steps monetary policy strategy.the portuguese version december copom minutes released next thursday , december 18 .",0
"`` braslia - evaluating inflation prospects , copom decided , moment , reduce selic rate 12.75 % p.a. , without bias , five votes monetary policy action three votes favor reducing selic rate 0.75 p.p . therefore , committee starts process monetary policy easing , immediately carrying relevant part basic interest rate movement , without hindering accomplishment inflation target . january copom minutes released portuguese next thursday , january 29 .",0
"`` braslia - assessing macroeconomic outlook , copom unanimously decided , moment , reduce selic rate 11.25 % p.a. , without bias . committee monitor evolution inflation forward-looking scenario next meeting , considering magnitude quickness basic interest rate adjustment already implemented cumulative effects , order define next steps monetary policy strategy.the march copom minutes released portuguese next thursday , march 19 .",0
"`` braslia - assessing macroeconomic scenario aiming extend process monetary easing , copom unanimously decided lower selic rate 10.25 percent , without bias .",0
"braslia - light inflation prospects targets path , copom decided lower selic rate 9.25 percent , without bias , six votes monetary policy action two votes favor reducing selic rate 0.75 p.p . considering changes basic interest rates effects economic activity inflationary dynamics accumulate throughout time , committee agrees additional monetary easing implemented parsimonious way . copom closely monitor evolution prospective scenario inflation next meeting order define next steps monetary policy strategy .",0
"braslia - light inflation prospects targets path , copom unanimously decided lower selic rate 8.75 percent , without bias . considering monetary policy easing implemented since january lagged cumulative effects economy , committee evaluates , moment , basic interest rate level consistent benign inflationary scenario , contributing ensure convergence inflation targets path relevant forecast period , well non-inflationary recovery economic activity .",1
"braslia - light inflation prospects targets path , copom unanimously decided maintain selic rate 8.75 percent , without bias . considering , one hand , monetary policy easing implemented since january , hand , idle margin production factors , among factors , committee evaluates basic interest rate level consistent benign inflationary scenario , contributing ensure maintenance inflation line targets path relevant forecast period , well non-inflationary recovery economic activity .",2
"braslia - light inflation prospects targets path , copom unanimously decided maintain selic rate 8.75 percent , without bias . considering , one hand , monetary policy easing implemented since january , hand , idle margin production factors , among factors , committee evaluates basic interest rate level consistent benign inflationary scenario , contributing ensure maintenance inflation line targets path relevant forecast period , well non-inflationary recovery economic activity . october copom minutes released portuguese next thursday , october 29 .",2
"braslia - light inflation prospects targets path , copom unanimously decided maintain selic rate 8.75 percent , without bias . considering , one hand , monetary policy easing implemented since january , hand , remaining idle margin production factors , among factors , committee evaluates , present moment , basic interest rate level consistent benign inflationary scenario , contributing ensure maintenance inflation line targets path relevant forecast period , well non-inflationary recovery economic activity . december copom minutes released portuguese next thursday , december 17 .",2
"braslia - assessing macroeconomic outlook prospects inflation , copom unanimously decided maintain selic rate 8.75 percent , without bias . committee monitor evolution macroeconomic scenario next meeting , order define next steps monetary policy strategy.the january copom minutes released portuguese next thursday , february 4 .",2
"braslia - assessing macroeconomic outlook prospects inflation , copom decided maintain selic rate 8.75 percent , without bias , five votes monetary policy action three votes favor increasing selic rate 50 basis points . committee carefully monitor evolution macroeconomic scenario next meeting , order define next steps monetary policy strategy.the march copom minutes released portuguese next thursday , march 25 .",1
"braslia - continuing adjustment process monetary conditions forward-looking scenario economy , order ensure convergence inflation targets path , copom unanimously decided increase selic target 9.50 percent , without bias . april copom minutes released portuguese next thursday , may 6 .",1
"braslia - continuing adjustment process monetary conditions forward-looking scenario economy , order ensure convergence inflation targets path , copom unanimously decided increase selic target 10.25 percent , without bias.the june copom minutes released portuguese next thursday , june 17 .",1
"braslia - assessing macroeconomic outlook prospects inflation , copom unanimously decided increase selic target 10.75 percent , without bias . considering process declining risks inflation observed since last copom meeting , due recent evolution domestic external factors , copom believes decision contribute intensify process.the july copom minutes released portuguese next thursday , july 29 .",0
"braslia - copom unanimously decided maintain selic target 10.75 percent , without bias . copom expect inflation level registered last months continue near future , observes continuation process risk reduction inflationary scenario materialized since penultimate meeting . context , committee evaluates , moment , maintenance basic interest rate level established july meeting provides adequate conditions ensure convergence inflation targets path.the september copom minutes released next thursday , september 9 .",2
"braslia - assessing macroeconomic scenario prospects inflation , copom unanimously decided maintain selic target 10.75 percent , without bias.the october copom minutes released next thursday , october 28 .",2
"braslia - assessing macroeconomic scenario prospects inflation , copom unanimously decided maintain selic target 10.75 percent , without bias.in light less favorable prospective scenario observed last meeting , considering , due credit liquidity conditions , bcb recently introduced macroprudential measures , among committee members prevailed understanding additional time necessary order better measure effect initiatives monetary conditions . sense , committee understood opportune reevaluate monetary policy strategy meeting attentively follow evolution macroeconomic scenario next meeting , define next steps monetary policy strategy.the december copom minutes released next thursday , december16 .",1
"braslia - copom unanimously decided increase selic target 11.25 percent , without bias , starting process adjustment basic interest rate , whose effects , combined stemming macroprudential actions , contribute inflation convergence towards target path.the january copom minutes released portuguese next thursday , january 27 .",1
"braslia - continuing adjustment process monetary conditions , copom unanimously decided increase selic target 11.75 percent , without bias.the march copom minutes released portuguese next thursday , march 10 .",1
"braslia - following process adjustment monetary conditions , copom decided increase selic target 12.00 percent , without bias , five votes monetary policy action two votes favor increasing selic rate 50 basis points . taking account balance risks inflation , still uncertain rhythm moderation domestic activity , well complexity involves international environment moment , committee understands , present , implementation adjustments monetary conditions sufficiently long period adequate strategy guarantee convergence inflation target 2012.the april copom minutes released portuguese next thursday , april 28 .",1
"braslia - following process gradual adjustment monetary conditions , copom unanimously decided increase selic target 12.25 percent , without bias . taking account balance risks inflation , still uncertain rhythm moderation domestic activity , well complexity involves international environment , committee understands implementation adjustments monetary conditions sufficiently prolonged period continues adequate strategy guarantee convergence inflation target 2012.the june copom minutes released portuguese next thursday , june 16 .",1
"braslia - assessing prospective scenario balance risks inflation , copom unanimously decided , moment , increase selic target 12.50 percent , without bias.the july copom minutes released portuguese next thursday , july 28 .",0
"braslia - copom decided reduce selic rate 12.00 percent , without bias , five votes monetary policy action two votes favor maintaining selic rate 12.50 percent . reassessing international scenario , copom considers substantial deterioration , materialized , instance , generalized significant reduction growth projections main economic blocks . committee understands increase chances restrictions today several mature economies exposed prolong period greater previously anticipated . also notices , economies , scope use monetary policy seems limited , scenario fiscal restriction prevails . therefore , committee evaluates international scenario shows disinflationary bias relevant forecast period . copom , transmission external developments brazilian economy may materialize several channels , among others , reduction current trade , moderation investments flow , restrictive credit conditions deterioration consumers businessmen sentiment . committee understands complexity surrounds international scenario contribute intensify accelerate ongoing process domestic activity moderation , already materializes , example , retreat projections brazilian economy growth . therefore , relevant forecast period , balance risks inflation becomes favorable . way , revision scenario fiscal policy also points direction.under context , copom understands , promptly mitigating effects stemming restrictive global environment , moderate adjustment basic rate level consistent scenario convergence inflation target 2012.the committee carefully monitor evolution macroeconomic environment developments international scenario , defines next steps monetary policy strategy.the august copom minutes released portuguese next thursday , september 8 .",0
"braslia - continuing process adjustment monetary conditions , copom unanimously decided reduce selic rate 11.50 percent , without bias . copom understands , promptly mitigating effects stemming restrictive global environment , moderate adjustment basic rate level consistent scenario convergence inflation target 2012.the october copom minutes released portuguese next thursday , october 27 .",0
"braslia - continuing process adjustment monetary conditions , copom unanimously decided reduce selic rate 11.00 percent , without bias.the copom understands , promptly mitigating effects stemming restrictive global environment , moderate adjustment basic rate level consistent scenario inflation convergence target 2012.the november copom minutes released portuguese next thursday , december 8 .",0
"braslia continuing process adjustment monetary conditions , copom unanimously decided reduce selic rate 10.50 percent , without bias.the copom understands , promptly mitigating effects stemming restrictive global environment , moderate adjustment basic rate level consistent scenario inflation convergence target 2012.the january copom minutes released portuguese next thursday , january 26 .",0
"braslia continuing process adjustment monetary conditions , copom decided reduce selic rate 9.75 percent , without bias , five votes monetary policy action two votes favor reducing selic rate 50 basis points.the march copom minutes released portuguese next thursday , march 15 .",0
